date,venue,bands/0,bands/1,bands/2,bands/3,bands/4,bands/5,bands/6,bands/7,bands/8,bands/9,bands/10,bands/11,bands/12,bands/13,bands/14,bands/15,bands/16,bands/17
"Sep 10, 2002",Common Grounds,Darius Axis,Polaris Mine,,,,,,,,,,,,,,,,
"Sep 10, 2002",Purple Porp - Blowhole,Time,Immedia,Inity,,,,,,,,,,,,,,,
"Sep 11, 2002",Eddie C's,The Independents,Sugardish,11 SEPTEMBERS,,,,,,,,,,,,,,,
"Sep 11, 2002",The Side Bar,Fluid Mosaic,,,,,,,,,,,,,,,,,
"Sep 12, 2002",Common Grounds,Daughters of the Revolution,Brick Foot Ninja Squad,High Octan,,,,,,,,,,,,,,,
"Sep 12, 2002",Purple Porp - Blowhole,Cloud Ten,Gargamel,Jabberwocky,,,,,,,,,,,,,,,
"Sep 13, 2002",Common Grounds,Strikeforce Diablo,Billy Reese Peters,House on Fire,,,,,,,,,,,,,,,
"Sep 13, 2002",Eddie C's,DownPsycol,Pendulum,Thrust Supersonic,,,,,,,,,,,,,,,
"Sep 14, 2002",Common Grounds,Anchor,Grabass Charlestons,True North,,,,,,,,,,,,,,,
"Sep 14, 2002",The Side Bar,Go Cat Go,,,,,,,,,,,,,,,,,
"Sep 16, 2002",Common Grounds,Gunmoll,The Scaries,When Sparks Fly?,A Day in the LIfe?,,,,,,,,,,,,,,
"Sep 16, 2002",Purple Porp - Blowhole,Soulfound,Vonray,Blindside,,,,,,,,,,,,,,,
"Sep 17, 2002",Purple Porp - Blowhole,X Versus Y,The Julius Airwave,Breaking Up,,,,,,,,,,,,,,,
"Sep 19, 2002",Common Grounds,The Dillinger Four,Toys That Kill,Rivet Head,Grabass Charlestons,,,,,,,,,,,,,,
"Sep 19, 2002",Purple Porp - Blowhole,Standstill,The Implants,Vangard,,,,,,,,,,,,,,,
"Sep 19, 2002",The Shamrock,Deans on Base,Free Keys,,,,,,,,,,,,,,,,
"Sep 19, 2002",The Side Bar,Mercer Burns,,,,,,,,,,,,,,,,,
"Sep 20, 2002",Common Grounds,Fin Fang Foom,True North,Swayze,,,,,,,,,,,,,,,
"Sep 20, 2002",Eddie C's,Prime Example,Quick Shot Paulo,Crass Roots,,,,,,,,,,,,,,,
"Sep 21, 2002",Common Grounds,Jimmy and the Teasers,Big Oil,,,,,,,,,,,,,,,,
"Sep 22, 2002",NE 1st Street Music Hall,Amanda Garrigues,,,,,,,,,,,,,,,,,
"Sep 23, 2002",Common Grounds,Thick as Thieves,Britt,Sugardish,Two Finger Suicide,Robotix,,,,,,,,,,,,,
